cod_ibge,municipio,populacao,renda,n_roubo,n_furto,n_lesao,taxa_roubo_1000,taxa_furto_1000,taxa_lesao_1000
3500105,Adamantina,34687,2796.76,5,211,153,0.144,6.083,4.411
3500204,Adolfo,4351,2302.07,1,24,34,0.23,5.516,7.814
3500303,Aguaí,32072,2239.18,16,425,143,0.499,13.251,4.459
3500402,Águas da Prata,7369,2265.07,3,32,38,0.407,4.343,5.157
3500501,Águas de Lindóia,17930,2506.84,10,74,79,0.558,4.127,4.406
3500550,Águas de Santa Bárbara,7177,2751.65,0,61,37,0,8.499,5.155
3500600,Águas de São Pedro,2780,4025.78,1,40,13,0.36,14.388,4.676
3500709,Agudos,37680,2486.81,6,322,160,0.159,8.546,4.246
3500758,Alambari,6141,2170.13,3,43,16,0.489,7.002,2.605
3500808,Alfredo Marcondes,4445,2261.68,0,31,32,0,6.974,7.199
3500907,Altair,3451,2240.37,0,20,17,0,5.795,4.926
3501004,Altinópolis,16818,2221.97,4,79,53,0.238,4.697,3.151
3501103,Alto Alegre,3841,2123.36,2,25,9,0.521,6.509,2.343
3501152,Alumínio,17301,2628.28,14,192,58,0.809,11.098,3.352
3501202,Álvares Florence,3915,2369.97,0,43,18,0,10.983,4.598
3501301,Álvares Machado,27255,2431.87,3,173,111,0.11,6.347,4.073
3501400,Álvaro de Carvalho,4808,2638.43,1,39,20,0.208,8.111,4.16
3501509,Alvinlândia,2885,2016.82,0,12,13,0,4.159,4.506
3501608,Americana,237240,3602.86,259,2813,764,1.092,11.857,3.22
3501707,Américo Brasiliense,33019,2068.11,22,346,141,0.666,10.479,4.27
3501806,Américo de Campos,5870,2311.5,0,36,27,0,6.133,4.6
3501905,Amparo,68008,2775.46,36,416,276,0.529,6.117,4.058
3502002,Analândia,4589,2570.46,4,47,16,0.872,10.242,3.487
3502101,Andradina,59783,2652.74,14,501,264,0.234,8.38,4.416
3502200,Angatuba,24022,2445.23,5,101,89,0.208,4.204,3.705
3502309,Anhembi,5674,1781.12,9,72,31,1.586,12.689,5.464
3502408,Anhumas,4023,2232.62,0,24,29,0,5.966,7.209
3502507,Aparecida,32569,2114.74,96,650,193,2.948,19.958,5.926
3502606,Aparecida d'Oeste,4086,2080.5,0,22,22,0,5.384,5.384
3502705,Apiaí,24585,1863.85,2,122,95,0.081,4.962,3.864
3502754,Araçariguama,21522,2490.01,37,189,93,1.719,8.782,4.321
3502804,Araçatuba,200124,3275.12,94,2368,919,0.47,11.833,4.592
3502903,Araçoiaba da Serra,32443,3177.38,16,226,102,0.493,6.966,3.144
3503000,Aramina,5420,2494.4,2,41,28,0.369,7.565,5.166
3503109,Arandu,6885,2002.85,1,18,21,0.145,2.614,3.05
3503158,Arapeí,2330,1608.06,0,16,16,0,6.867,6.867
3503208,Araraquara,242228,3399.92,156,3254,1011,0.644,13.434,4.174
3503307,Araras,130866,2973.01,242,1338,624,1.849,10.224,4.768
3503356,Arco-Íris,2044,1825.42,1,10,11,0.489,4.892,5.382
3503406,Arealva,8130,2350.23,1,60,36,0.123,7.38,4.428
3503505,Areias,3577,1797.35,2,26,24,0.559,7.269,6.71
3503604,Areiópolis,10130,2157.78,2,57,33,0.197,5.627,3.258
3503703,Ariranha,7602,2285.09,0,36,30,0,4.736,3.946
3503802,Artur Nogueira,51456,2636.41,36,372,217,0.7,7.229,4.217
3503901,Arujá,86678,3437.98,305,742,403,3.519,8.56,4.649
3503950,Aspásia,1842,2224.15,0,4,7,0,2.172,3.8
3504008,Assis,101409,3000.45,28,1051,489,0.276,10.364,4.822
3504107,Atibaia,158647,3617.52,170,1179,566,1.072,7.432,3.568
3504206,Auriflama,13692,2224.6,4,74,69,0.292,5.405,5.039
3504305,Avaí,4483,2149.77,2,37,30,0.446,8.253,6.692
3504404,Avanhandava,11263,2229.4,2,49,37,0.178,4.351,3.285
3504503,Avaré,92805,2748.18,23,560,451,0.248,6.034,4.86
3504602,Bady Bassitt,27260,2881.68,9,138,91,0.33,5.062,3.338
3504701,Balbinos,3887,1374.94,0,18,55,0,4.631,14.15
3504800,Bálsamo,9596,2396.37,3,69,41,0.313,7.19,4.273
3504909,Bananal,9969,1887.38,1,54,38,0.1,5.417,3.812
3505005,Barão de Antonina,3531,1756.11,0,3,9,0,0.85,2.549
3505104,Barbosa,5640,1810.8,2,26,27,0.355,4.61,4.787
3505203,Bariri,31595,2600.95,13,250,194,0.411,7.913,6.14
3505302,Barra Bonita,34346,2737.76,10,336,93,0.291,9.783,2.708
3505351,Barra do Chapéu,5179,1495.07,1,10,8,0.193,1.931,1.545
3505401,Barra do Turvo,6876,1860.56,13,76,23,1.891,11.053,3.345
3505500,Barretos,122485,2949.11,71,1615,562,0.58,13.185,4.588
3505609,Barrinha,32092,2236.23,17,153,119,0.53,4.768,3.708
3505708,Barueri,316473,4407.39,844,3723,1240,2.667,11.764,3.918
3505807,Bastos,21503,2177.26,5,182,67,0.233,8.464,3.116
3505906,Batatais,58402,2765.89,39,391,183,0.668,6.695,3.133
3506003,Bauru,379146,3299.32,303,5096,1973,0.799,13.441,5.204
3506102,Bebedouro,76373,2775.49,47,564,328,0.615,7.385,4.295
3506201,Bento de Abreu,2606,2389.07,0,15,6,0,5.756,2.302
3506300,Bernardino de Campos,11607,2456.24,1,116,62,0.086,9.994,5.342
3506359,Bertioga,64188,2423.9,277,1047,456,4.315,16.311,7.104
3506409,Bilac,7319,2440.02,0,48,23,0,6.558,3.143
