crime,cod_ibge,municipio,taxa_por_1000,moran_local_Ii,p_valor,cluster,litoranea_turistica
Roubo (art. 157),3500105,Adamantina,0.144,0.2073,0.076,Não significativo,0
Roubo (art. 157),3500204,Adolfo,0.23,0.1238,0.432,Não significativo,0
Roubo (art. 157),3500303,Aguaí,0.499,0.0185,0.984,Não significativo,0
Roubo (art. 157),3500402,Águas da Prata,0.407,0.102,0.36,Não significativo,0
Roubo (art. 157),3500501,Águas de Lindóia,0.558,0.0254,0.882,Não significativo,0
Roubo (art. 157),3500550,Águas de Santa Bárbara,0,0.2416,0.082,Não significativo,0
Roubo (art. 157),3500600,Águas de São Pedro,0.36,0.0421,0.706,Não significativo,0
Roubo (art. 157),3500709,Agudos,0.159,0.1242,0.296,Não significativo,0
Roubo (art. 157),3500758,Alambari,0.489,6e-4,0.666,Não significativo,0
Roubo (art. 157),3500808,Alfredo Marcondes,0,0.2512,0.128,Não significativo,0
Roubo (art. 157),3500907,Altair,0,0.1762,0.396,Não significativo,0
Roubo (art. 157),3501004,Altinópolis,0.238,0.029,0.894,Não significativo,0
Roubo (art. 157),3501103,Alto Alegre,0.521,0.0519,0.194,Não significativo,0
Roubo (art. 157),3501152,Alumínio,0.809,0.0395,0.35,Não significativo,0
Roubo (art. 157),3501202,Álvares Florence,0,0.2482,0.062,Não significativo,0
Roubo (art. 157),3501301,Álvares Machado,0.11,0.2003,0.102,Não significativo,0
Roubo (art. 157),3501400,Álvaro de Carvalho,0.208,0.1433,0.234,Não significativo,0
Roubo (art. 157),3501509,Alvinlândia,0,0.228,0.156,Não significativo,0
Roubo (art. 157),3501608,Americana,1.092,0.1295,0.356,Não significativo,0
Roubo (art. 157),3501707,Américo Brasiliense,0.666,0.0054,0.806,Não significativo,0
Roubo (art. 157),3501806,Américo de Campos,0,0.2642,0.04,Baixo-Baixo,0
Roubo (art. 157),3501905,Amparo,0.529,0.0299,0.674,Não significativo,0
Roubo (art. 157),3502002,Analândia,0.872,0.016,0.568,Não significativo,0
Roubo (art. 157),3502101,Andradina,0.234,0.1604,0.048,Baixo-Baixo,0
Roubo (art. 157),3502200,Angatuba,0.208,0.1357,0.214,Não significativo,0
Roubo (art. 157),3502309,Anhembi,1.586,-0.058,0.874,Não significativo,0
Roubo (art. 157),3502408,Anhumas,0,0.2237,0.166,Não significativo,0
Roubo (art. 157),3502507,Aparecida,2.948,-0.0647,0.718,Não significativo,0
