crime,cod_ibge,municipio,populacao,taxa_por_1000,litoranea_turistica
Roubo (art. 157),3522208,Itapecerica da Serra,158522,10.118,0
Roubo (art. 157),3550308,São Paulo,11451999,9.467,0
Roubo (art. 157),3547809,Santo André,748919,8.156,0
Roubo (art. 157),3515004,Embu das Artes,250691,7.519,0
Roubo (art. 157),3551009,São Vicente,329911,7.32,1
Furto (art. 155),3531100,Mongaguá,61951,34.172,1
Furto (art. 155),3522109,Itanhaém,112476,27.944,1
Furto (art. 155),3520426,Ilha Comprida,13419,26.455,1
Furto (art. 155),3550308,São Paulo,11451999,25.198,0
Furto (art. 155),3537602,Peruíbe,68352,25.061,1
Lesão corporal (art. 129),3504701,Balbinos,3887,14.15,0
Lesão corporal (art. 129),3548302,Santo Expedito,3000,10.333,0
Lesão corporal (art. 129),3543600,Rifaina,4049,10.126,0
Lesão corporal (art. 129),3518107,Guarantã,6427,10.114,0
Lesão corporal (art. 129),3540259,Pontalinda,4127,9.692,0
